"BuildingType","DataYear","Buildings","Percentile_25th_EUI","Median_EUI","Percentile_75th_EUI","Median_EUI_WN","Average_Site_EUI","Average_Site_EUI_WN","Median_Source_EUI","Median_ES_Score","Average_ES_Score","Total_GFA","Median_GFA","Median_Year_Built","Average_GHGSF","MedianGHGSF"
"College/University","2024","23","36.4","48.8","68.5","45.8","62.9","62","108.4","90.5","90.2","4,679,963","84,459","1970","2.5","1.2"
"Distribution Center","2024","38","11.2","21.9","39.7","22.1","39.6","40.7","44.8","61","58.9","2,382,484","42,074","1968.5","0.7","0.5"
"High-Rise Multifamily","2024","138","33.6","42.5","50.4","43.2","44.2","45","91.9","78.5","69.4","32,494,700","177,662","2000.5","1.1","0.8"
"Hospital","2024","11","160.7","188","213.1","188.7","188.1","188.9","342.7","85","75.3","8,378,858","401,194","1973","6.6","6.4"
"Hotel","2024","82","52.7","64.9","83.4","66.5","71.8","72.6","129.6","80","73.6","11,757,620","88,895","1984","2.2","2"
"K-12 School","2024","142","30.4","36.8","46","37","40.3","40.5","69.6","73","68.6","11,436,854","58,527.5","1971","1.3","1.1"
"Laboratory","2024","27","153.2","200.3","249.2","207","200.4","202","399.5",,,"4,241,620","109,749","1999","6.2","5.5"
"Large Office","2024","186","32.1","40.1","50.5","41","45.1","46","104.4","85","81.5","64,019,696","224,675","1990.5","0.6","0.3"
"Low-Rise Multifamily","2024","1,023","24.6","29.6","36.8","30.1","34","34.3","75.1","84","78.1","40,899,151","30,040","1979","0.7","0.2"
"Medical Office","2024","42","58.2","71.2","103.8","71","91.3","91.9","193.3","61","57","4,552,776","54,381.5","1984.5","1.7","0.7"
"Mid-Rise Multifamily","2024","804","27.9","33","41.4","33.4","36.6","37","76.9","95","87","69,358,767","59,216","2006","0.8","0.7"
"Mixed Use Property","2024","145","35.8","60.2","104.4","61.5","78.5","78.9","128","85","76.7","20,199,252","64,597","1980","2","1.2"
"Non-Refrigerated Warehouse","2024","140","15.3","26.6","43.2","27.1","33.3","34.4","49.5","61","55.7","7,585,282","38,014","1966","1","0.7"
"Other","2024","272","37.4","66.1","99.2","66","88.5","89.6","137.4","61.5","54.5","23,293,259","38,816","1967","2.2","1.4"
"Refrigerated Warehouse","2024","13","24.4","46.1","87.4","45.2","67.4","67.4","129.2","49","46.9","1,066,272","25,577","1955","0.8","0.4"
"Residence Hall/Dormitory","2024","14","32.3","51.5","71.8","47.5","52.2","49.6","89.5","82","77.6","1,068,345","30,062","1940","1.8","1.7"
"Restaurant","2024","9","103.9","138.8","236.2","138.8","183.9","183.8","295.2",,,"286,244","31,020","1955","5.9","4"
"Retail Store","2024","56","27.1","50.5","68.2","49.8","53.1","54","98.9","70","67.3","3,526,240","37,565","1967","1.1","0.7"
"Self-Storage Facility","2024","33","7.6","13.6","22.1","14.1","17.9","18.2","28.1",,,"2,583,242","70,586","1988","0.5","0.3"
"Senior Living Community","2024","45","43.8","61","85.5","61.1","72","72.1","128.1","66.5","64.1","5,499,935","88,839","2000","2.1","1.6"
"Small- and Mid-Sized Office","2024","285","27.2","40.4","57.1","41.3","48.2","48.6","101","76","68.9","13,468,696","40,029","1962","0.8","0.4"
"Supermarket/Grocery Store","2024","34","144.8","198.4","264.8","200.4","214.5","215.2","437","73","67.7","1,590,912","42,968.5","1996.5","5.5","4.6"
"Worship Facility","2024","61","23","33.1","43.8","34.5","35.7","36.8","50.9","54","52.2","1,883,600","26,033","1952","1.4","1.3"
"College/University","2023","24","41","49.5","73.8","46.6","65.2","63.1","108.7","93","92.2","4,711,863","83,602.5","1970","2.5","1.1"
"Distribution Center","2023","37","11.6","23.5","38.6","23","29","28.6","48.9","64","59.7","2,361,135","42,900","1969","0.6","0.4"
"High-Rise Multifamily","2023","135","34.3","44","51.7","43.2","46.7","46.1","95.5","78","67.5","30,704,212","175,870","2000","1.2","0.9"
"Hospital","2023","11","163.1","182.5","208.9","184.8","192.3","192.3","350.6","82","74.9","8,378,858","401,194","1973","6.6","6.1"
"Hotel","2023","80","56.4","67","82.2","65.6","68.4","68.4","132.2","80","74.7","11,643,371","89,891","1987.5","2.1","1.9"
"K-12 School","2023","145","33","39.2","49.2","38.1","42.5","41.1","75","71","66.2","11,691,130","58,118","1971","1.4","1.3"
"Laboratory","2023","26","146.8","198","273.8","197.4","211.1","210.1","388.5","39","39","4,131,509","109,649.5","1999","6.6","5.3"
"Large Office","2023","184","35.3","43","55","43","49.1","48.9","109.2","84","79.7","63,660,748","224,675","1990.5","0.7","0.4"
"Low-Rise Multifamily","2023","1,032","25.1","30.2","37.4","29.7","34.7","34.2","77","83","77.2","41,514,435","29,862","1979","0.6","0.2"
"Medical Office","2023","45","60","72.9","97.9","72.9","91.6","91.7","193.9","62","57.7","4,421,902","45,145","1984","1.7","0.8"
"Mid-Rise Multifamily","2023","782","28.2","33.2","41.6","33","37.2","36.8","78.4","94","86.6","67,019,835","58,964.5","2005.5","0.8","0.7"
"Mixed Use Property","2023","143","37.1","61.4","101","60.6","80.2","79.5","134.7","80.5","72.4","19,597,305","57,644","1980","1.9","1.2"
"Non-Refrigerated Warehouse","2023","139","16.6","27.8","45","27.6","34.8","34","53.9","62","55.8","7,795,206","38,412","1966","1.1","0.8"
"Other","2023","270","37.3","64.1","109.5","63.6","88.6","87.9","137.2","55.5","51.6","23,178,989","39,171.5","1968","2.1","1.3"
"Refrigerated Warehouse","2023","13","28.4","44.4","86.1","44.4","73","73","123.2","48.5","40.9","1,066,272","25,577","1955","1.1","0.5"
"Residence Hall/Dormitory","2023","12","30.8","48.2","70","47","53.9","55.1","84.7","86","74.7","899,904","28,285.5","1939.5","1.7","1.4"
"Restaurant","2023","9","79.9","143.7","215.3","148.5","181.3","191.6","314.5",,,"286,244","31,020","1955","5.7","4.1"
"Retail Store","2023","61","24.3","48.2","70.3","46.5","50.9","50.5","96.6","76","69.8","3,193,116","37,247","1966","1","0.6"
"Self-Storage Facility","2023","38","7.6","14.4","22.4","14.2","17.8","17.4","27.8",,,"3,114,717","75,473","1987.5","0.5","0.3"
"Senior Living Community","2023","44","44.5","62.5","90.2","61.2","74.2","70.9","130.5","63","62.7","5,045,798","77,906.5","1999.5","2.2","1.7"
"Small- and Mid-Sized Office","2023","284","30.3","43.8","57.6","43.8","50.8","50.2","106.4","74","66.3","13,247,034","39,814.5","1965.5","0.8","0.4"
"Supermarket/Grocery Store","2023","34","155.3","215.2","269.8","213.5","211.7","209","435.7","73.5","70.9","1,649,443","44,747","1995","5.3","5.1"
"Worship Facility","2023","58","23.6","35.9","44","34.9","38.3","37.3","54.5","55","51.7","1,877,185","26,406.5","1951","1.5","1.3"
"College/University","2022","22","42.4","54.2","79.1","51.1","71.2","67.3","112.5","88","89.3","4,535,117","71,898","1967.5","3.1","1.3"
"Distribution Center","2022","36","14.6","22.7","37.3","21.2","29.5","28.4","47.2","60","57.6","2,325,556","43,804","1968.5","0.6","0.4"
"High-Rise Multifamily","2022","129","35.6","45.2","53.2","44.2","48.1","46.1","96","76","66","28,109,722","169,565","1991","1.2","0.9"
"Hospital","2022","11","170.8","192.4","210.9","191.7","196.7","190.4","356.1","86","73.4","8,378,858","401,194","1973","6.8","7.5"
"Hotel","2022","76","53.6","69","82.8","67.5","69.6","68.1","135.4","82","75.9","12,159,744","92,251.5","1987.5","2.1","2"
"K-12 School","2022","142","34.8","45.3","55.2","43","48.2","45.1","81.6","65","61.3","11,460,454","58,527.5","1971","1.6","1.4"
"Laboratory","2022","23","158","223.6","280.3","223.6","234.3","228.8","424.4","21","21","3,398,525","109,550","1997","7.9","6.4"
"Large Office","2022","182","36","44.2","57.1","44.2","50.5","50.3","110.1","84.5","79.1","63,145,901","224,675","1990.5","0.7","0.4"
